Date,England Total,Scotland Total,Wales Total,Northern Ireland Total,UK Total,England Daily,Scotland Total,Wales Daily,Northern Ireland Daily,UK Daily
2020-01-31,0.0,,,,0.0,,,,,
2020-02-01,0.0,,,,0.0,,,,,
2020-02-02,0.0,,,,0.0,,,,,
2020-02-03,0.0,,,,0.0,,,,,
2020-02-04,0.0,,,,0.0,,,,,
2020-02-05,0.0,,,,0.0,,,,,
2020-02-06,0.0,,,,0.0,,,,,
2020-02-07,0.0,,,,0.0,,,,,
2020-02-08,0.0,,,,0.0,,,,,
2020-02-09,0.0,,,,0.0,,,,,
2020-02-10,0.0,,,,0.0,,,,,
2020-02-11,0.0,,,,0.0,,,,,
2020-02-12,0.0,,,,0.0,,,,,
2020-02-13,0.0,,,,0.0,,,,,
2020-02-14,0.0,,,,0.0,,,,,
2020-02-15,0.0,,,,0.0,,,,,
2020-02-16,0.0,,,,0.0,,,,,
2020-02-17,0.0,,,,0.0,,,,,
2020-02-18,0.0,,,,0.0,,,,,
2020-02-19,0.0,,,,0.0,,,,,
2020-02-20,0.0,,,,0.0,,,,,
2020-02-21,0.0,,,,0.0,,,,,
2020-02-22,0.0,,,,0.0,,,,,
2020-02-23,0.0,,,,0.0,,,,,
2020-02-24,0.0,,,,0.0,,,,,
2020-02-25,0.0,,,,0.0,,,,,
2020-02-26,0.0,,,,0.0,,,,,
2020-02-27,0.0,,,,0.0,,,,,
2020-02-28,0.0,,0.0,,0.0,,,,,
2020-02-29,0.0,,0.0,,0.0,,,,,
2020-03-01,0.0,,0.0,,0.0,,,,,
2020-03-02,0.001851851851851852,0.0,0.0,,0.0015479876160990713,0.001851851851851852,,,,0.0015479876160990713
2020-03-03,0.005555555555555556,0.0,0.0,,0.0046439628482972135,0.003703703703703704,,,,0.0030959752321981426
2020-03-04,0.005555555555555556,0.0,0.0,,0.0046439628482972135,0.0,,,,0.0
2020-03-05,0.011111111111111112,0.0,0.0,,0.009287925696594427,0.005555555555555556,,,,0.0046439628482972135
2020-03-06,0.011111111111111112,0.0,0.0,0.0,0.009287925696594427,0.0,,,,0.0
2020-03-07,0.011111111111111112,0.0,0.0,0.0,0.009287925696594427,0.0,,,,0.0
2020-03-08,0.016666666666666666,0.0,0.0,0.0,0.01393188854489164,0.005555555555555556,,,,0.0046439628482972135
2020-03-09,0.025925925925925925,0.0,0.0,0.0,0.021671826625386997,0.009259259259259259,,,,0.007739938080495356
2020-03-10,0.03148148148148148,0.0,0.0,0.0,0.02631578947368421,0.005555555555555556,,,,0.0046439628482972135
2020-03-11,0.046296296296296294,0.0,0.0,0.0,0.03869969040247678,0.014814814814814815,,,,0.01238390092879257
2020-03-12,0.06851851851851852,0.01818181818181818,0.0,0.0,0.058823529411764705,0.022222222222222223,0.01818181818181818,,,0.020123839009287926
2020-03-13,0.09814814814814815,0.01818181818181818,0.0,0.0,0.08359133126934984,0.02962962962962963,0.0,,,0.02476780185758514
2020-03-14,0.13518518518518519,0.05454545454545454,0.0,0.0,0.11764705882352941,0.037037037037037035,0.03636363636363636,,,0.034055727554179564
2020-03-15,0.19444444444444445,0.05454545454545454,0.0,0.0,0.16718266253869968,0.05925925925925926,0.0,,,0.04953560371517028
2020-03-16,0.2740740740740741,0.07272727272727272,0.0967741935483871,0.0,0.23993808049535603,0.07962962962962963,0.01818181818181818,0.0967741935483871,,0.07275541795665634
2020-03-17,0.36666666666666664,0.10909090909090909,0.0967741935483871,0.0,0.3204334365325077,0.09259259259259259,0.03636363636363636,0.0,,0.0804953560371517
2020-03-18,0.49074074074074076,0.10909090909090909,0.0967741935483871,0.05,0.42569659442724456,0.12407407407407407,0.0,0.0,0.05,0.10526315789473684
2020-03-19,0.6148148148148148,0.16363636363636364,0.1935483870967742,0.1,0.5402476780185759,0.12407407407407407,0.05454545454545454,0.0967741935483871,0.05,0.11455108359133127
2020-03-20,0.8037037037037037,0.2545454545454545,0.25806451612903225,0.1,0.7089783281733746,0.18888888888888888,0.09090909090909091,0.06451612903225806,0.0,0.16873065015479877
2020-03-21,1.0185185185185186,0.36363636363636365,0.4838709677419355,0.15,0.9102167182662538,0.21481481481481482,0.10909090909090909,0.22580645161290322,0.05,0.20123839009287925
2020-03-22,1.3018518518518518,0.45454545454545453,0.6451612903225806,0.2,1.1640866873065014,0.2833333333333333,0.09090909090909091,0.16129032258064516,0.05,0.25386996904024767
2020-03-23,1.6222222222222222,0.5272727272727272,0.7741935483870968,0.45,1.4520123839009287,0.32037037037037036,0.07272727272727272,0.12903225806451613,0.25,0.28792569659442724
2020-03-24,2.0277777777777777,0.6545454545454545,1.064516129032258,0.55,1.8188854489164086,0.40555555555555556,0.12727272727272726,0.2903225806451613,0.1,0.3668730650154799
2020-03-25,2.5425925925925927,0.8545454545454545,1.3870967741935485,0.75,2.2879256965944275,0.5148148148148148,0.2,0.3225806451612903,0.2,0.46904024767801855
2020-03-26,3.1666666666666665,1.0727272727272728,1.7419354838709677,0.85,2.848297213622291,0.6240740740740741,0.21818181818181817,0.3548387096774194,0.1,0.5603715170278638
2020-03-27,3.859259259259259,1.2727272727272727,2.064516129032258,1.0,3.4643962848297214,0.6925925925925925,0.2,0.3225806451612903,0.15,0.6160990712074303
2020-03-28,4.57037037037037,1.8,2.5483870967741935,1.4,4.139318885448916,0.7111111111111111,0.5272727272727272,0.4838709677419355,0.4,0.6749226006191951
2020-03-29,5.42962962962963,2.1636363636363636,3.129032258064516,1.6,4.922600619195046,0.8592592592592593,0.36363636363636365,0.5806451612903226,0.2,0.7832817337461301
2020-03-30,6.433333333333334,2.709090909090909,3.6451612903225805,1.8,5.8390092879256965,1.0037037037037038,0.5454545454545454,0.5161290322580645,0.2,0.9164086687306502
2020-03-31,7.548148148148148,3.4,4.129032258064516,2.05,6.860681114551084,1.114814814814815,0.6909090909090909,0.4838709677419355,0.25,1.021671826625387
2020-04-01,8.84074074074074,4.236363636363636,4.806451612903226,2.25,8.051083591331269,1.2925925925925925,0.8363636363636363,0.6774193548387096,0.2,1.1904024767801857
2020-04-02,10.196296296296296,4.890909090909091,5.709677419354839,2.75,9.298761609907121,1.3555555555555556,0.6545454545454545,0.9032258064516129,0.5,1.2476780185758514
2020-04-03,11.572222222222223,5.945454545454545,6.645161290322581,3.25,10.59907120743034,1.375925925925926,1.0545454545454545,0.9354838709677419,0.5,1.3003095975232197
2020-04-04,13.125925925925927,6.454545454545454,7.645161290322581,3.7,12.003095975232197,1.5537037037037038,0.509090909090909,1.0,0.45,1.4040247678018576
2020-04-05,14.661111111111111,7.3090909090909095,8.612903225806452,4.25,13.422600619195046,1.5351851851851852,0.8545454545454545,0.967741935483871,0.55,1.4195046439628483
2020-04-06,16.153703703703705,8.454545454545455,9.258064516129032,4.55,14.808049535603715,1.4925925925925927,1.1454545454545455,0.6451612903225806,0.3,1.3854489164086687
2020-04-07,17.83888888888889,9.345454545454546,10.290322580645162,4.95,16.354489164086687,1.6851851851851851,0.8909090909090909,1.032258064516129,0.4,1.5464396284829722
2020-04-08,19.644444444444446,10.327272727272728,11.64516129032258,5.15,18.018575851393187,1.8055555555555556,0.9818181818181818,1.3548387096774193,0.2,1.6640866873065014
2020-04-09,21.262962962962963,11.527272727272727,13.03225806451613,6.05,19.568111455108358,1.6185185185185185,1.2,1.3870967741935485,0.9,1.5495356037151702
2020-04-10,22.83703703703704,12.581818181818182,13.838709677419354,6.6,21.029411764705884,1.5740740740740742,1.0545454545454545,0.8064516129032258,0.55,1.4613003095975232
2020-04-11,24.437037037037037,13.50909090909091,14.838709677419354,7.15,22.510835913312693,1.6,0.9272727272727272,1.0,0.55,1.4814241486068112
2020-04-12,26.024074074074075,14.363636363636363,16.032258064516128,7.95,23.992260061919506,1.587037037037037,0.8545454545454545,1.1935483870967742,0.8,1.4814241486068112
2020-04-13,27.514814814814816,15.10909090909091,17.419354838709676,8.3,25.379256965944272,1.4907407407407407,0.7454545454545455,1.3870967741935485,0.35,1.3869969040247678
2020-04-14,28.93888888888889,16.036363636363635,18.258064516129032,8.9,26.707430340557277,1.424074074074074,0.9272727272727272,0.8387096774193549,0.6,1.328173374613003
2020-04-15,30.387037037037036,16.8,19.483870967741936,9.7,28.06656346749226,1.4481481481481482,0.7636363636363637,1.2258064516129032,0.8,1.3591331269349844
2020-04-16,31.785185185185185,17.581818181818182,20.612903225806452,10.25,29.373065015479877,1.3981481481481481,0.7818181818181819,1.1290322580645162,0.55,1.306501547987616
2020-04-17,33.15925925925926,18.272727272727273,21.580645161290324,10.7,30.640866873065015,1.374074074074074,0.6909090909090909,0.967741935483871,0.45,1.2678018575851393
2020-04-18,34.46666666666667,19.21818181818182,22.612903225806452,11.2,31.879256965944272,1.3074074074074074,0.9454545454545454,1.032258064516129,0.5,1.238390092879257
2020-04-19,35.737037037037034,20.054545454545455,23.451612903225808,11.7,33.06811145510836,1.2703703703703704,0.8363636363636363,0.8387096774193549,0.5,1.1888544891640866
2020-04-20,37.00555555555555,21.163636363636364,24.258064516129032,12.3,34.28018575851393,1.2685185185185186,1.1090909090909091,0.8064516129032258,0.6,1.2120743034055728
